strain,stress
0.08646,447.7
0.08655,446.8
0.08661,447.4
0.08668,449.7
0.08676,448
0.08683,447.9
0.08691,451.3
0.08698,449.9
0.08705,448.6
0.08713,450.6
0.08721,452.8
0.08728,448.3
0.08735,449.2
0.08742,452.2
0.0875,452.3
0.08758,451.1
0.08764,453.4
0.08772,449
0.08779,447.6
0.08787,449
0.08795,452.4
0.08802,450.8
0.08809,451.3
0.08816,450.5
0.08825,450.9
0.08832,449.8
0.08839,453.5
0.08846,455.2
0.08855,452.5
0.08862,452.4
0.08869,451.8
0.08877,454.3
0.08884,452.9
0.08892,455.9
0.089,450.6
0.08906,453.8
0.08914,454.8
0.08921,452.9
0.08929,454.8
0.08936,450.8
0.08944,458.4
0.08951,451.9
0.08958,457
0.08966,452.4
0.08973,457
0.08981,454.3
0.08987,455.4
0.08996,455.1
0.09003,457.2
0.09011,454.9
0.09018,450.1
0.09023,454.4
0.09033,456.2
0.09041,455.1
0.09048,458.3
0.09055,459
0.09063,456.7
0.0907,453.8
0.09077,459.9
0.09085,459.6
0.09091,456.5
0.091,460.9
0.09107,456.5
0.09115,455.6
0.09122,457.8
0.09127,459.6
0.09137,455.1
0.09145,461.3
0.09152,456.9
0.09159,460.7
0.09167,459.4
0.09174,458
0.09181,460.7
0.09189,455.7
0.09195,461.7
0.09204,458.7
0.09211,458.4
0.09219,461.3
0.09226,461.8
0.09234,461.4
0.09241,463.6
0.09249,462.1
0.09256,480.9
0.09263,459.4
